Date,anemia,crescimento progressivo das feridas,indisposicao,palidez,perda de peso
2007-01-14,28.0,0.0,0.0,9.0,19.0
2007-01-21,47.0,0.0,0.0,9.0,9.0
2007-01-28,36.0,0.0,0.0,9.0,8.0
2007-02-04,18.0,0.0,0.0,9.0,8.0
2007-02-11,53.0,0.0,0.0,9.0,8.0
2007-02-18,43.0,0.0,0.0,0.0,8.0
2007-02-25,42.0,0.0,0.0,0.0,8.0
2007-03-04,100.0,0.0,0.0,0.0,0.0
2007-03-11,48.0,0.0,0.0,0.0,0.0
2007-03-18,55.0,0.0,0.0,0.0,0.0
2007-03-25,31.0,0.0,0.0,0.0,0.0
2007-04-01,60.0,0.0,0.0,0.0,0.0
2007-04-08,23.0,0.0,0.0,0.0,0.0
2007-04-15,30.0,0.0,0.0,0.0,7.0
2007-04-22,43.0,0.0,0.0,0.0,7.0
2007-04-29,72.0,0.0,0.0,0.0,10.0
2007-05-06,96.0,0.0,0.0,0.0,14.0
2007-05-13,60.0,0.0,0.0,0.0,20.0
2007-05-20,83.0,0.0,0.0,0.0,6.0
2007-05-27,51.0,0.0,0.0,0.0,13.0
2007-06-03,58.0,0.0,0.0,0.0,7.0
2007-06-10,27.0,0.0,0.0,0.0,7.0
2007-06-17,43.0,0.0,0.0,0.0,14.0
2007-06-24,63.0,0.0,0.0,0.0,6.0
2007-07-01,40.0,0.0,0.0,0.0,9.0
2007-07-08,28.0,0.0,0.0,0.0,11.0
2007-07-15,34.0,0.0,0.0,0.0,13.0
2007-07-22,52.0,0.0,0.0,0.0,13.0
2007-07-29,39.0,0.0,0.0,0.0,13.0
2007-08-05,24.0,0.0,0.0,0.0,6.0
2007-08-12,36.0,0.0,0.0,0.0,6.0
2007-08-19,56.0,0.0,0.0,0.0,6.0
2007-08-26,61.0,0.0,0.0,0.0,6.0
2007-09-02,19.0,0.0,0.0,0.0,6.0
2007-09-09,73.0,0.0,0.0,0.0,17.0
2007-09-16,66.0,0.0,0.0,0.0,11.0
2007-09-23,62.0,0.0,0.0,0.0,6.0
2007-09-30,91.0,0.0,0.0,0.0,6.0
2007-10-07,31.0,0.0,0.0,0.0,13.0
2007-10-14,39.0,0.0,0.0,0.0,6.0
2007-10-21,55.0,0.0,0.0,0.0,6.0
2007-10-28,34.0,0.0,0.0,0.0,6.0
2007-11-04,59.0,0.0,0.0,0.0,11.0
2007-11-11,31.0,0.0,0.0,0.0,5.0
2007-11-18,54.0,0.0,0.0,0.0,5.0
2007-11-25,36.0,0.0,0.0,0.0,5.0
2007-12-02,33.0,0.0,0.0,0.0,8.0
2007-12-09,38.0,0.0,0.0,0.0,11.0
2007-12-16,24.0,0.0,0.0,0.0,8.0
2007-12-23,25.0,0.0,0.0,0.0,8.0
2007-12-30,8.0,0.0,0.0,0.0,23.0
2008-01-06,11.0,0.0,0.0,0.0,6.0
2008-01-13,71.0,0.0,0.0,0.0,5.0
2008-01-20,44.0,0.0,0.0,0.0,5.0
2008-01-27,48.0,0.0,0.0,0.0,16.0
2008-02-03,50.0,0.0,0.0,0.0,5.0
2008-02-10,41.0,0.0,0.0,0.0,5.0
2008-02-17,30.0,0.0,0.0,0.0,5.0
2008-02-24,59.0,0.0,0.0,0.0,5.0
2008-03-02,35.0,0.0,0.0,0.0,5.0
2008-03-09,29.0,0.0,0.0,0.0,5.0
2008-03-16,64.0,0.0,0.0,0.0,5.0
2008-03-23,62.0,0.0,0.0,0.0,5.0
2008-03-30,52.0,0.0,0.0,0.0,5.0
2008-04-06,48.0,0.0,0.0,5.0,10.0
2008-04-13,33.0,0.0,0.0,14.0,9.0
2008-04-20,55.0,0.0,0.0,0.0,9.0
2008-04-27,51.0,0.0,0.0,0.0,9.0
2008-05-04,34.0,0.0,0.0,0.0,9.0
2008-05-11,28.0,0.0,0.0,0.0,9.0
2008-05-18,41.0,0.0,0.0,0.0,0.0
2008-05-25,59.0,0.0,0.0,0.0,0.0
2008-06-01,59.0,0.0,0.0,0.0,0.0
2008-06-08,56.0,0.0,0.0,0.0,0.0
2008-06-15,71.0,0.0,0.0,0.0,0.0
2008-06-22,47.0,0.0,0.0,0.0,0.0
2008-06-29,20.0,0.0,0.0,0.0,10.0
2008-07-06,31.0,0.0,0.0,0.0,5.0
2008-07-13,25.0,0.0,0.0,0.0,5.0
2008-07-20,24.0,0.0,0.0,0.0,5.0
2008-07-27,33.0,0.0,0.0,0.0,5.0
2008-08-03,14.0,0.0,5.0,0.0,5.0
2008-08-10,46.0,0.0,0.0,0.0,5.0
2008-08-17,53.0,0.0,0.0,4.0,9.0
2008-08-24,65.0,0.0,0.0,4.0,13.0
2008-08-31,48.0,0.0,0.0,4.0,9.0
2008-09-07,26.0,0.0,0.0,4.0,9.0
2008-09-14,52.0,0.0,0.0,4.0,9.0
2008-09-21,68.0,0.0,0.0,0.0,9.0
2008-09-28,47.0,0.0,0.0,0.0,9.0
2008-10-05,45.0,0.0,0.0,0.0,4.0
2008-10-12,64.0,0.0,0.0,0.0,8.0
2008-10-19,68.0,0.0,0.0,0.0,7.0
2008-10-26,48.0,0.0,0.0,0.0,7.0
